Reg,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7
snR67_snR55,0.0578311763257477,0.0,0.0,0.0,0.0,0.0,0.0
snR67_snR39B,0.0833717246672516,0.0,0.0,0.0,0.0,0.0,0.0
snR67_snR79,0.142046096788779,0.153481161110071,0.113738808557069,0.0,0.0,0.0,0.0
YOR302W_YJL205C,0.0226521033780866,0.0,0.0,0.0,0.0,0.0,0.0
YOR302W_YPR183W,0.0100872131384019,0.0,0.0,0.0,0.0,0.0,0.0
YOR302W_snR40,0.0414548369898109,0.0347894164736331,0.0,0.0,0.0,0.0,0.0
YOR302W_YLR264W,0.0187147781154772,0.0170854160972405,0.0,0.0,0.0,0.0,0.0
YOR302W_YJL136C,0.0111571571024098,0.0,0.0,0.0,0.0,0.0,0.0
snR39_snR61,0.0127528192802985,0.0,0.0,0.0,0.0,0.0,0.0
snR39_YJL205C,0.0472175640933675,0.0,0.0471408572394722,0.0572780324301522,0.0,0.0,0.0
snR39_snR18,0.180879785450929,0.115364741371401,0.119495715530745,0.146133059089427,0.172256436771327,0.206356522206158,0.185452329073319
snR39_snR87,0.114000106299134,0.0758394074134836,0.0865730322154882,0.127226886310558,0.0,0.0832095258318601,0.0
snR39_YNL145W,0.0165236143264176,0.0243210318633472,0.0221027144719339,0.0,0.0,0.0397371824725087,0.0
snR39_snR60,0.0187373851619466,0.029377311181351,0.0282412618519275,0.0305936054940934,0.0,0.0,0.0
snR39_snR128,0.0766713962985261,0.0729410261761864,0.0704629442925978,0.0566971815162044,0.0,0.0,0.0
snR39_YPL047W,0.0138939379145268,0.0141735171110061,0.0138221283191907,0.0149598232710808,0.0,0.0,0.0
snR39_snR40,0.0878165387297872,0.0,0.0766187500682446,0.0879270298291444,0.0,0.0,0.0
snR39_snR38,0.026257734915843,0.0455767095598464,0.0503010759670934,0.0577359739470038,0.0,0.0251293129515171,0.0
snR39_YOR302W,0.0869469222584387,0.0,0.0,0.0782210209629591,0.0,0.0,0.0
